Time;Stress;First Derivative;Rate in degrees;Second Derivative
77,3;6,91E-07;0;0;0
78,3;6,91E-07;0;0;0
79,3;6,91E-07;0;0;0
80,3;6,91E-07;0;0;0
81,3;6,91E-07;0;0;0
82,3;6,91E-07;0;0;0
83,3;6,90E-07;-1,0000000000000751E-09;-1,7453292519944607E-11;-1,0000000000000751E-09
84,3;6,90E-07;0;0;1,0000000000000751E-09
85,3;6,90E-07;0;0;0
86,3;6,90E-07;0;0;0
87,3;6,90E-07;0;0;0
88,3;6,90E-07;0;0;0
89,3;6,90E-07;0;0;0
90,3;6,90E-07;0;0;0
91,3;6,90E-07;0;0;0
92,3;6,90E-07;0;0;0
93,3;6,90E-07;0;0;0
94,3;6,90E-07;0;0;0
95,3;6,90E-07;0;0;0
96,3;6,89E-07;-9,999999999999692E-10;-1,7453292519942758E-11;-9,999999999999692E-10
97,3;6,89E-07;0;0;9,999999999999692E-10
98,3;6,89E-07;0;0;0
99,3;6,89E-07;0;0;0
100,3;6,89E-07;0;0;0
101,3;6,89E-07;0;0;0
102,3;6,89E-07;0;0;0
103,3;6,89E-07;0;0;0
104,3;6,89E-07;0;0;0
105,3;6,89E-07;0;0;0
106,3;6,89E-07;0;0;0
107,3;6,89E-07;0;0;0
108,3;6,89E-07;0;0;0
109,3;6,89E-07;0;0;0
110,3;6,58E-07;-3,1E-08;-5,410520681182419E-10;-3,1E-08
110,4;6,60E-07;1,999999999999874E-08;3,4906585039884383E-10;5,099999999999439E-07
110,5;6,55E-07;-5,000000000000342E-08;-8,726646259972237E-10;-7,000000000000614E-07
110,6;6,44E-07;-1,1000000000000604E-07;-1,91986217719386E-09;-6,000000000000604E-07
110,7;6,38E-07;-5,999999999999515E-08;-1,047197551196512E-09;5,000000000000663E-07
110,8;6,27E-07;-1,1000000000000604E-07;-1,91986217719386E-09;-5,000000000001373E-07
110,9;6,22E-07;-4,999999999999526E-08;-8,726646259970813E-10;6,000000000000566E-07
111;6,11E-07;-1,100000000000071E-07;-1,9198621771938785E-09;-6,000000000001525E-07
111,1;6,06E-07;-5,000000000000236E-08;-8,726646259972053E-10;6,000000000000816E-07
111,2;5,95E-07;-1,0999999999999041E-07;-1,9198621771935873E-09;-5,999999999998293E-07
111,3;5,90E-07;-5,000000000000342E-08;-8,726646259972237E-10;5,999999999999039E-07
111,4;5,79E-07;-1,0999999999999041E-07;-1,9198621771935873E-09;-5,999999999998187E-07
111,5;5,74E-07;-5,000000000000236E-08;-8,726646259972053E-10;5,999999999999145E-07
111,6;5,63E-07;-1,1000000000000604E-07;-1,91986217719386E-09;-6,00000000000071E-07
111,7;5,59E-07;-3,999999999999748E-08;-6,981317007976875E-10;7,00000000000026E-07
111,8;5,48E-07;-1,1000000000000604E-07;-1,91986217719386E-09;-7,000000000001254E-07
111,9;5,43E-07;-4,999999999999526E-08;-8,726646259970813E-10;6,000000000000566E-07
112;5,32E-07;-1,1000000000000604E-07;-1,91986217719386E-09;-6,00000000000142E-07
112,1;5,27E-07;-5,000000000000342E-08;-8,726646259972237E-10;6,000000000000604E-07
112,2;5,17E-07;-9,999999999999158E-08;-1,7453292519941767E-09;-4,999999999998389E-07
112,3;5,12E-07;-5,000000000000236E-08;-8,726646259972053E-10;4,999999999999206E-07
112,4;5,01E-07;-1,0999999999999041E-07;-1,9198621771935873E-09;-5,999999999998293E-07
112,5;4,96E-07;-5,000000000000342E-08;-8,726646259972237E-10;5,999999999999039E-07
112,6;4,86E-07;-1,0000000000000578E-07;-1,7453292519944247E-09;-5,000000000000521E-07
112,7;4,81E-07;-4,999999999999526E-08;-8,726646259970813E-10;5,000000000000626E-07
112,8;4,70E-07;-1,1000000000000657E-07;-1,9198621771938694E-09;-6,000000000001473E-07
112,9;4,66E-07;-3,999999999999642E-08;-6,981317007976691E-10;7,000000000000419E-07
113;4,55E-07;-1,1000000000000657E-07;-1,9198621771938694E-09;-7,000000000001413E-07
113,1;4,50E-07;-5,000000000000289E-08;-8,726646259972145E-10;6,00000000000071E-07
113,2;4,40E-07;-9,999999999999105E-08;-1,7453292519941676E-09;-4,999999999998389E-07
113,3;4,35E-07;-5,000000000000289E-08;-8,726646259972145E-10;4,9999999999991E-07
113,4;4,24E-07;-1,0999999999999094E-07;-1,9198621771935964E-09;-5,999999999998293E-07
113,5;4,20E-07;-4,0000000000002105E-08;-6,981317007977682E-10;6,999999999999282E-07
113,6;4,09E-07;-1,1000000000000604E-07;-1,91986217719386E-09;-7,000000000000792E-07
113,7;4,05E-07;-3,999999999999695E-08;-6,981317007976783E-10;7,000000000000313E-07
113,8;3,94E-07;-1,1000000000000604E-07;-1,91986217719386E-09;-7,000000000001307E-07
113,9;3,89E-07;-4,999999999999579E-08;-8,726646259970906E-10;6,000000000000513E-07
114;3,79E-07;-1,0000000000000578E-07;-1,7453292519944247E-09;-5,000000000001283E-07
114,1;3,74E-07;-5,000000000000289E-08;-8,726646259972145E-10;5,000000000000574E-07
114,2;3,64E-07;-9,999999999999158E-08;-1,7453292519941767E-09;-4,999999999998442E-07
114,3;3,59E-07;-5,000000000000236E-08;-8,726646259972053E-10;4,999999999999206E-07
114,4;3,49E-07;-9,999999999999158E-08;-1,7453292519941767E-09;-4,999999999998495E-07
114,5;3,44E-07;-5,000000000000289E-08;-8,726646259972145E-10;4,999999999999153E-07
114,6;3,34E-07;-1,0000000000000578E-07;-1,7453292519944247E-09;-5,000000000000574E-07
114,7;3,29E-07;-4,999999999999579E-08;-8,726646259970906E-10;5,000000000000573E-07
114,8;3,19E-07;-1,0000000000000578E-07;-1,7453292519944247E-09;-5,000000000001283E-07
114,9;3,14E-07;-4,999999999999579E-08;-8,726646259970906E-10;5,000000000000573E-07
115;3,04E-07;-1,0000000000000525E-07;-1,7453292519944154E-09;-5,00000000000123E-07
115,1;2,99E-07;-5,000000000000289E-08;-8,726646259972145E-10;5,000000000000521E-07
