Time;Strain;Strain Derivative;Reduced Relaxation Function;Reduced Relaxation Function Derivative;Elastic Response;Elastic Response Derivative;Stress
13.1;0.06;0;0.914865368;-0.004701251;2.28012;0;2.086002822
13.2;0.06;0;0.914396324;-0.004679639;2.28012;0;2.084933346
13.3;0.06;0;0.913929436;-0.004658138;2.28012;0;2.083868786
13.4;0.06;0;0.913464693;-0.004636746;2.28012;0;2.082809115
13.5;0.06;0;0.913002083;-0.004615463;2.28012;0;2.08175431
13.6;0.06;0;0.912541596;-0.004594289;2.28012;0;2.080704345
13.7;0.06;0;0.912083222;-0.004573223;2.28012;0;2.079659196
13.8;0.06;0;0.911626948;-0.004552264;2.28012;0;2.078618837
13.9;0.06;0;0.911172765;-0.004531412;2.28012;0;2.077583246
14;0.06;0;0.910720662;-0.004510666;2.28012;0;2.076552397
14.1;0.06;0;0.910270629;-0.004490027;2.28012;0;2.075526266
14.2;0.06;0;0.909822654;-0.004469492;2.28012;0;2.074504829
14.3;0.06;0;0.909376727;-0.004449062;2.28012;0;2.073488062
14.4;0.06;0;0.908932838;-0.004428736;2.28012;0;2.072475942
14.5;0.06;0;0.908490976;-0.004408514;2.28012;0;2.071468444
14.6;0.06;0;0.908051131;-0.004388395;2.28012;0;2.070465546
14.7;0.06;0;0.907613294;-0.004368379;2.28012;0;2.069467223
14.8;0.06;0;0.907177452;-0.004348465;2.28012;0;2.068473452
14.9;0.06;0;0.906743597;-0.004328652;2.28012;0;2.067484211
15;0.06;0;0.906311718;-0.00430894;2.28012;0;2.066499475
15.1;0.06;0;0.905881806;-0.004289329;2.28012;0;2.065519223
15.2;0.06;0;0.905453849;-0.004269817;2.28012;0;2.064543431
15.3;0.06;0;0.905027839;-0.004250405;2.28012;0;2.063572076
15.4;0.06;0;0.904603765;-0.004231092;2.28012;0;2.062605137
15.5;0.06;0;0.904181617;-0.004211878;2.28012;0;2.061642589
15.6;0.06;0;0.903761386;-0.004192761;2.28012;0;2.060684412
15.7;0.06;0;0.903343062;-0.004173742;2.28012;0;2.059730582
15.8;0.06;0;0.902926634;-0.00415482;2.28012;0;2.058781078
15.9;0.06;0;0.902512095;-0.004135994;2.28012;0;2.057835877
16;0.06;0;0.902099432;-0.004117264;2.28012;0;2.056894958
16.1;0.06;0;0.901688639;-0.00409863;2.28012;0;2.055958298
16.2;0.06;0;0.901279703;-0.00408009;2.28012;0;2.055025877
16.3;0.06;0;0.900872617;-0.004061645;2.28012;0;2.054097672
16.4;0.06;0;0.900467371;-0.004043294;2.28012;0;2.053173662
16.5;0.06;0;0.900063955;-0.004025037;2.28012;0;2.052253826
16.6;0.06;0;0.899662361;-0.004006872;2.28012;0;2.051338142
16.7;0.06;0;0.899262578;-0.003988801;2.28012;0;2.050426589
16.8;0.06;0;0.898864597;-0.003970821;2.28012;0;2.049519146
16.9;0.06;0;0.898468411;-0.003952932;2.28012;0;2.048615792
17;0.06;0;0.898074008;-0.003935135;2.28012;0;2.047716507
17.1;0.06;0;0.89768138;-0.003917429;2.28012;0;2.046821269
17.2;0.06;0;0.897290519;-0.003899813;2.28012;0;2.045930058
