Time;Numeric;Experimental
1106;3,57369631;
1108;3,5736938;
1110;3,57369133;
1112;3,57368888;
1114;3,57368647;
1116;3,57368408;
1118;3,57368173;
1120;3,57367941;
1122;3,57367712;
1124;3,57367485;
1126;3,57367262;
1128;3,57367041;
1130;3,57366824;
1132;3,57366609;
1134;3,57366396;
1136;3,57366187;
1138;3,5736598;
1140;3,57365776;
1142;3,57365574;
1144;3,57365375;
1146;3,57365179;
1148;3,57364985;
1150;3,57364793;
1152;3,57364604;
1154;3,57364418;
1156;3,57364233;
1158;3,57364051;
1160;3,57363872;
1162;3,57363695;
1164;3,5736352;
1166;3,57363347;
1168;3,57363176;
1170;3,57363008;
1172;3,57362842;
1174;3,57362678;
1176;3,57362516;
1178;3,57362356;
1180;3,57362198;
1182;3,57362042;
1184;3,57361888;
1186;3,57361736;
1188;3,57361586;
1190;3,57361438;
1192;3,57361292;
1194;3,57361148;
1196;3,57361005;
1198;3,57360864;
1200;3,57360726;
1202;3,57360589;
1204;3,57360453;
1206;3,5736032;
1208;3,57360188;
1210;3,57360058;
1212;3,57359929;
1214;3,57359802;
1216;3,57359677;
1218;3,57359553;
1220;3,57359431;
1222;3,57359311;
1224;3,57359192;
1226;3,57359074;
1228;3,57358958;
1230;3,57358844;
1232;3,57358731;
1234;3,57358619;
1236;3,57358509;
1238;3,573584;
1240;3,57358293;
1242;3,57358187;
1244;3,57358082;
1246;3,57357979;
1248;3,57357877;
1250;3,57357777;
1252;3,57357677;
1254;3,57357579;
1256;3,57357482;
1258;3,57357387;
1260;3,57357292;
1262;3,57357199;
1264;3,57357107;
1266;3,57357016;
1268;3,57356927;
1270;3,57356838;
1272;3,57356751;
1274;3,57356664;
1276;3,57356579;
1278;3,57356495;
1280;3,57356412;
1282;3,5735633;
1284;3,57356249;
1286;3,57356169;
1288;3,57356091;
1290;3,57356013;
1292;3,57355936;
1294;3,5735586;
1296;3,57355785;
1298;3,57355711;
1300;3,57355638;
1302;3,57355566;
1304;3,57355495;
1306;3,57355425;
1308;3,57355356;
1310;3,57355287;
1312;3,5735522;
1314;3,57355153;
1316;3,57355087;
1318;3,57355022;
1320;3,57354958;
1322;3,57354894;
1324;3,57354832;
1326;3,5735477;
1328;3,57354709;
1330;3,57354649;
1332;3,5735459;
1334;3,57354531;
1336;3,57354473;
1338;3,57354416;
1340;3,5735436;
1342;3,57354304;
1344;3,57354249;
1346;3,57354195;
1348;3,57354141;
1350;3,57354088;
1352;3,57354036;
1354;3,57353984;
1356;3,57353933;
1358;3,57353883;
1360;3,57353833;
1362;3,57353784;
1364;3,57353736;
1366;3,57353688;
1368;3,57353641;
1370;3,57353595;
1372;3,57353549;
1374;3,57353503;
1376;3,57353459;
1378;3,57353414;
1380;3,57353371;
1382;3,57353328;
1384;3,57353285;
1386;3,57353243;
1388;3,57353202;
1390;3,57353161;
1392;3,5735312;
1394;3,57353081;
1396;3,57353041;
1398;3,57353002;
1400;3,57352964;
1402;3,57352926;
1404;3,57352889;
1406;3,57352852;
1408;3,57352815;
1410;3,57352779;
1412;3,57352744;
1414;3,57352709;
1416;3,57352674;
1418;3,5735264;
1420;3,57352606;
1422;3,57352573;
1424;3,5735254;
1426;3,57352508;
1428;3,57352476;
1430;3,57352444;
1432;3,57352413;
1434;3,57352382;
1436;3,57352351;
1438;3,57352321;
1440;3,57352292;
1442;3,57352262;
1444;3,57352234;
1446;3,57352205;
1448;3,57352177;
1450;3,57352149;
1452;3,57352122;
1454;3,57352094;
1456;3,57352068;
1458;3,57352041;
1460;3,57352015;
1462;3,57351989;
1464;3,57351964;
1466;3,57351939;
1468;3,57351914;
1470;3,5735189;
1472;3,57351865;
1474;3,57351842;
1476;3,57351818;
1478;3,57351795;
1480;3,57351772;
1482;3,57351749;
1484;3,57351727;
1486;3,57351705;
1488;3,57351683;
1490;3,57351662;
1492;3,5735164;
1494;3,57351619;
1496;3,57351599;
1498;3,57351578;
1500;3,57351558;
1502;3,57351538;
1504;3,57351519;
1506;3,57351499;
1508;3,5735148;
1510;3,57351461;
1512;3,57351442;
1514;3,57351424;
1516;3,57351406;
1518;3,57351388;
1520;3,5735137;
1522;3,57351353;
1524;3,57351335;
1526;3,57351318;
1528;3,57351301;
1530;3,57351285;
1532;3,57351268;
1534;3,57351252;
1536;3,57351236;
1538;3,5735122;
1540;3,57351205;
1542;3,57351189;
1544;3,57351174;
1546;3,57351159;
1548;3,57351144;
1550;3,5735113;
1552;3,57351115;
1554;3,57351101;
1556;3,57351087;
1558;3,57351073;
1560;3,57351059;
1562;3,57351046;
1564;3,57351032;
1566;3,57351019;
1568;3,57351006;
1570;3,57350993;
1572;3,57350981;
1574;3,57350968;
1576;3,57350956;
1578;3,57350944;
1580;3,57350931;
1582;3,5735092;
1584;3,57350908;
1586;3,57350896;
1588;3,57350885;
1590;3,57350873;
1592;3,57350862;
1594;3,57350851;
1596;3,5735084;
1598;3,5735083;
1600;3,57350819;
1602;3,57350809;
1604;3,57350798;
1606;3,57350788;
1608;3,57350778;
1610;3,57350768;
1612;3,57350758;
1614;3,57350749;
1616;3,57350739;
1618;3,5735073;
1620;3,5735072;
1622;3,57350711;
1624;3,57350702;
1626;3,57350693;
1628;3,57350684;
1630;3,57350675;
1632;3,57350667;
1634;3,57350658;
1636;3,5735065;
1638;3,57350642;
1640;3,57350633;
1642;3,57350625;
1644;3,57350617;
1646;3,57350609;
1648;3,57350602;
1650;3,57350594;
1652;3,57350586;
1654;3,57350579;
1656;3,57350571;
1658;3,57350564;
1660;3,57350557;
1662;3,5735055;
1664;3,57350543;
1666;3,57350536;
1668;3,57350529;
1670;3,57350522;
1672;3,57350516;
1674;3,57350509;
1676;3,57350502;
1678;3,57350496;
1680;3,5735049;
1682;3,57350483;
1684;3,57350477;
1686;3,57350471;
1688;3,57350465;
1690;3,57350459;
1692;3,57350453;
1694;3,57350448;
1696;3,57350442;
1698;3,57350436;
1700;3,57350431;
1702;3,57350425;
1704;3,5735042;
