Time;Stress;Time;Derivative;Second Derivative
24,1;1,86364;0,001;0,001405983;sim
24,2;1,86307;-0,0057;0,001114894;sim
24,3;1,8629;-0,0017;0,001279661;sim
24,4;1,86304;0,0014;0,001405063;sim
24,5;1,86284;-0,002;0,001256303;sim
24,6;1,86178;-0,0106;0,000891213;sim
24,7;1,86187;0,0009;0,001366667;sim
24,8;1,86255;0,0068;0,001605809;sim
24,9;1,86115;-0,014;0,000739669;sim
25;1,86121;0,0006;0,001337449;sim
25,1;1,86092;-0,0029;0,001188525;sim
25,2;1,86125;0,0033;0,001436735;sim
25,3;1,86043;-0,0082;0,000963415;sim
25,4;1,8599;-0,0053;0,001076923;sim
25,5;1,86074;0,0084;0,001625;sim
25,6;1,86017;-0,0057;0,001052209;sim
25,7;1,8598;-0,0037;0,001128;sim
25,8;1,86043;0,0063;0,001521912;sim
25,9;1,85951;-0,0092;0,000900794;sim
26;1,85893;-0,0058;0,001031621;sim
26,1;1,85906;0,0013;0,001307087;sim
26,2;1,85893;-0,0013;0,0012;sim
26,3;1,85942;0,0049;0,0014375;sim
26,4;1,85733;-0,0209;0,000428016;sim
26,5;1,85848;0,0115;0,001682171;sim
26,6;1,8575;-0,0098;0,000853282;sim
26,7;1,857;-0,005;0,001034615;sim
26,8;1,85673;-0,0027;0,001118774;sim
26,9;1,85639;-0,0034;0,001087786;sim
27;1,857;0,0061;0,001444867;sim
27,1;1,85628;-0,0072;0,000935606;sim
27,2;1,85636;0,0008;0,001233962;sim
27,3;1,85545;-0,0091;0,000857143;sim
27,4;1,85618;0,0073;0,001468165;sim
27,5;1,85549;-0,0069;0,000932836;sim
27,6;1,85481;-0,0068;0,000933086;sim
27,7;1,85535;0,0054;0,001381481;sim
27,8;1,85523;-0,0012;0,001132841;sim
27,9;1,85398;-0,0125;0,000713235;sim
28;1,85544;0,0146;0,001703297;sim
28,1;1,85315;-0,0229;0,000328467;sim
28,2;1,85438;0,0123;0,001607273;sim
28,3;1,85394;-0,0044;0,000996377;sim
28,4;1,85347;-0,0047;0,000981949;sim
28,5;1,85358;0,0011;0,00118705;sim
28,6;1,85242;-0,0116;0,000727599;sim
28,7;1,853;0,0058;0,001346429;sim
28,8;1,85322;0,0022;0,001213523;sim
28,9;1,85298;-0,0024;0,001046099;sim
29;1,85229;-0,0069;0,000883392;sim
29,1;1,85258;0,0029;0,001225352;sim
29,2;1,85177;-0,0081;0,000835088;sim
29,3;1,85117;-0,006;0,000905594;sim
29,4;1,85119;0,0002;0,001118467;sim
29,5;1,85116;-0,0003;0,001097222;sim
29,6;1,85121;0,0005;0,001121107;sim
29,7;1,85107;-0,0014;0,001051724;sim
29,8;1,85118;0,0011;0,001134021;sim
29,9;1,85046;-0,0072;0,00084589;sim
30;1,84993;-0,0053;0,00090785;sim
30,1;1,85018;0,0025;0,001170068;sim
30,2;1,84972;-0,0046;0,000925424;sim
30,3;1,84998;0,0026;0,001165541;sim
30,4;1,84956;-0,0042;0,00093266;sim
30,5;1,84913;-0,0043;0,000926174;sim
30,6;1,84964;0,0051;0,001237458;sim
30,7;1,84943;-0,0021;0,000993333;sim
30,8;1,84869;-0,0074;0,000813953;sim
30,9;1,84835;-0,0034;0,000943709;sim
31;1,84873;0,0038;0,001178218;sim
31,1;1,84801;-0,0072;0,0008125;sim
31,2;1,84894;0,0093;0,00135082;sim
31,3;1,84784;-0,011;0,000683007;sim
31,4;1,84769;-0,0015;0,000990228;sim
31,5;1,84766;-0,0003;0,001025974;sim
31,6;1,84767;1,00E-04;0,001035599;sim
31,7;1,84683;-0,0084;0,000758065;sim
31,8;1,84638;-0,0045;0,000881029;sim
31,9;1,8472;0,0082;0,001285256;sim
32;1,84664;-0,0056;0,000840256;sim
32,1;1,8454;-0,0124;0,000621019;sim
32,2;1,8462;0,008;0,001266667;sim
32,3;1,84565;-0,0055;0,000835443;sim
32,4;1,8456;-0,0005;0,000990536;sim
32,5;1,8455;-0,001;0,000971698;sim
32,6;1,84567;0,0017;0,001053292;sim
32,7;1,84557;-0,001;0,000965625;sim
32,8;1,84492;-0,0065;0,000791277;sim
32,9;1,84531;0,0039;0,001111801;sim
33;1,84472;-0,0059;0,000804954;sim
33,1;1,84463;-0,0009;0,00095679;sim
33,2;1,84393;-0,007;0,000766154;sim
33,3;1,84505;0,0112;0,001322086;sim
33,4;1,84442;-0,0063;0,000782875;sim
33,5;1,84367;-0,0075;0,000743902;sim
33,6;1,84367;0;0,000969605;sim
33,7;1,84332;-0,0035;0,000860606;sim
33,8;1,84352;0,002;0,001024169;sim
33,9;1,84304;-0,0048;0,000816265;sim
34;1,84338;0,0034;0,00106006;sim
34,1;1,84315;-0,0023;0,000886228;sim
34,2;1,84243;-0,0072;0,000737313;sim
34,3;1,84259;0,0016;0,000997024;sim
34,4;1,84245;-0,0014;0,000905045;sim
34,5;1,84222;-0,0023;0,00087574;sim
34,6;1,84202;-0,002;0,000882006;sim
34,7;1,84138;-0,0064;0,00075;sim
34,8;1,84187;0,0049;0,001079179;sim
34,9;1,84135;-0,0052;0,000780702;sim
35;1,84163;0,0028;0,001011662;sim
35,1;1,8412;-0,0043;0,000802326;sim
35,2;1,84058;-0,0062;0,000744928;sim
35,3;1,84021;-0,0037;0,000815029;sim
35,4;1,84071;0,005;0,001063401;sim
35,5;1,84042;-0,0029;0,000833333;sim
35,6;1,84046;0,0004;0,000925501;sim
35,7;1,84063;0,0017;0,00096;sim
35,8;1,83975;-0,0088;0,00065812;sim
35,9;1,84022;0,0047;0,001039773;sim
36;1,83915;-0,0107;0,000600567;sim
36,1;1,83908;-0,0007;0,000881356;sim
36,2;1,83887;-0,0021;0,000839437;sim
36,3;1,83938;0,0051;0,001039326;sim
36,4;1,83898;-0,004;0,000781513;sim
36,5;1,83834;-0,0064;0,000712291;sim
36,6;1,83891;0,0057;0,001047354;sim
36,7;1,83847;-0,0044;0,000763889;sim
36,8;1,83799;-0,0048;0,000750693;sim
36,9;1,8379;-0,0009;0,000856354;sim
37;1,83749;-0,0041;0,00076584;sim
37,1;1,83762;0,0013;0,000912088;sim
37,2;1,83757;-0,0005;0,000860274;sim
37,3;1,83709;-0,0048;0,000740437;sim
37,4;1,83759;0,005;0,00100545;sim
37,5;1,83718;-0,0041;0,000755435;sim
37,6;1,83605;-0,0113;0,000558266;sim
37,7;1,83672;0,0067;0,001043243;sim
37,8;1,8358;-0,0092;0,00061186;sim
37,9;1,83655;0,0075;0,00105914;sim
38;1,83619;-0,0036;0,000758713;sim
38,1;1,83596;-0,0023;0,000791444;sim
38,2;1,83562;-0,0034;0,00076;sim
38,3;1,83523;-0,0039;0,000744681;sim
38,4;1,83544;0,0021;0,000901857;sim
38,5;1,83435;-0,0109;0,000555556;sim
38,6;1,83461;0,0026;0,00091029;sim
38,7;1,83466;0,0005;0,000852632;sim
38,8;1,83506;0,004;0,000942257;sim
38,9;1,83492;-0,0014;0,000798429;sim
39;1,83361;-0,0131;0,000490862;sim
39,1;1,83473;0,0112;0,001122396;sim
39,2;1,83434;-0,0039;0,000727273;sim
39,3;1,83349;-0,0085;0,000606218;sim
39,4;1,83407;0,0058;0,00097416;sim
39,5;1,83418;0,0011;0,000850515;sim
39,6;1,83318;-0,01;0,000562982;sim
39,7;1,83354;0,0036;0,000910256;sim
39,8;1,83302;-0,0052;0,000682864;sim
39,9;1,83264;-0,0038;0,000716837;sim
40;1,83241;-0,0023;0,000753181;sim
40,1;1,8323;-0,0011;0,000781726;sim
40,2;1,83223;-0,0007;0,000789873;sim
40,3;1,832;-0,0023;0,000747475;sim
40,4;1,8328;0,008;0,001005038;sim
40,5;1,83208;-0,0072;0,000620603;sim
40,6;1,83195;-0,0013;0,000766917;sim
40,7;1,83165;-0,003;0,0007225;sim
40,8;1,83237;0,0072;0,000975062;sim
40,9;1,83223;-0,0014;0,000758706;sim
41;1,8313;-0,0093;0,000560794;sim
41,1;1,83077;-0,0053;0,000658416;sim
41,2;1,83122;0,0045;0,000898765;sim
41,3;1,82974;-0,0148;0,000421182;sim
41,4;1,83127;0,0153;0,001159705;sim
41,5;1,83073;-0,0054;0,00064951;sim
41,6;1,83018;-0,0055;0,000645477;sim
41,7;1,83017;-1,00E-04;0,00077561;sim
41,8;1,83071;0,0054;0,000907543;sim
41,9;1,82968;-0,0103;0,000524272;sim
42;1,82909;-0,0059;0,00062954;sim
42,1;1,8294;0,0031;0,000845411;sim
42,2;1,8293;-0,001;0,000744578;sim
42,3;1,82921;-0,0009;0,000745192;sim
42,4;1,82926;0,0005;0,000776978;sim
42,5;1,82951;0,0025;0,000822967;sim
42,6;1,8292;-0,0031;0,000687351;sim
42,7;1,82938;0,0018;0,000802381;sim
42,8;1,82873;-0,0065;0,000603325;sim
42,9;1,82951;0,0078;0,000940758;sim
43;1,82848;-0,0103;0,000510638;sim
43,1;1,82872;0,0024;0,000808962;sim
43,2;1,82831;-0,0041;0,000654118;sim
43,3;1,82767;-0,0064;0,000598592;sim
43,4;1,82746;-0,0021;0,000697892;sim
43,5;1,82779;0,0033;0,00082243;sim
43,6;1,82853;0,0074;0,000916084;sim
43,7;1,82741;-0,0112;0,000481395;sim
43,8;1,82703;-0,0038;0,000651972;sim
43,9;1,82711;0,0008;0,000756944;sim
44;1,82705;-0,0006;0,000722864;sim
44,1;1,8269;-0,0015;0,000700461;sim
44,2;1,82664;-0,0026;0,000673563;sim
44,3;1,82633;-0,0031;0,00066055;sim
44,4;1,82603;-0,003;0,000661327;sim
44,5;1,82585;-0,0018;0,000687215;sim
44,6;1,82615;0,003;0,000794989;sim
44,7;1,82612;-0,0003;0,000718182;sim
44,8;1,82566;-0,0046;0,000619048;sim
44,9;1,82572;0,0006;0,000735294;sim
45;1,8256;-0,0012;0,000693002;sim
45,1;1,82594;0,0034;0,000795045;sim
45,2;1,82505;-0,0089;0,000516854;sim
45,3;1,82516;0,0011;0,00073991;sim
45,4;1,82466;-0,005;0,00060179;sim
45,5;1,82489;0,0023;0,000763393;sim
45,6;1,82434;-0,0055;0,000587973;sim
45,7;1,82459;0,0025;0,000764444;sim
45,8;1,82393;-0,0066;0,000560976;sim
45,9;1,82429;0,0036;0,000785398;sim
46;1,82415;-0,0014;0,000673289;sim
46,1;1,82451;0,0036;0,000781938;sim
46,2;1,82391;-0,006;0,000569231;sim
46,3;1,82384;-0,0007;0,000684211;sim
46,4;1,82373;-0,0011;0,000673961;sim
46,5;1,8234;-0,0033;0,000624454;sim
46,6;1,82253;-0,0087;0,000505447;sim
46,7;1,82325;0,0072;0,00085;sim
46,8;1,82306;-0,0019;0,000650759;sim
46,9;1,82292;-0,0014;0,000660173;sim
47;1,82256;-0,0036;0,000611231;sim
47,1;1,82346;0,009;0,000881466;sim
47,2;1,82263;-0,0083;0,000507527;sim
47,3;1,82285;0,0022;0,00073176;sim
47,4;1,82208;-0,0077;0,000518201;sim
47,5;1,82295;0,0087;0,000867521;sim
47,6;1,82202;-0,0093;0,000481876;sim
47,7;1,82245;0,0043;0,000770213;sim
47,8;1,82146;-0,0099;0,000467091;sim
47,9;1,82162;0,0016;0,000709746;sim
