Time;Numerical;Experimental
1182;1,38407594;
1184;1,38407571;
1186;1,38407549;
1188;1,38407527;
1190;1,38407505;
1192;1,38407484;
1194;1,38407463;
1196;1,38407442;
1198;1,38407421;
1200;1,38407401;
1202;1,38407381;
1204;1,38407361;
1206;1,38407342;
1208;1,38407323;
1210;1,38407304;
1212;1,38407285;
1214;1,38407267;
1216;1,38407249;
1218;1,38407231;
1220;1,38407213;
1222;1,38407196;
1224;1,38407179;
1226;1,38407162;
1228;1,38407146;
1230;1,38407129;
1232;1,38407113;
1234;1,38407097;
1236;1,38407082;
1238;1,38407066;
1240;1,38407051;
1242;1,38407036;
1244;1,38407021;
1246;1,38407007;
1248;1,38406992;
1250;1,38406978;
1252;1,38406964;
1254;1,3840695;
1256;1,38406937;
1258;1,38406924;
1260;1,3840691;
1262;1,38406897;
1264;1,38406885;
1266;1,38406872;
1268;1,3840686;
1270;1,38406847;
1272;1,38406835;
1274;1,38406823;
1276;1,38406812;
1278;1,384068;
1280;1,38406789;
1282;1,38406777;
1284;1,38406766;
1286;1,38406755;
1288;1,38406745;
1290;1,38406734;
1292;1,38406723;
1294;1,38406713;
1296;1,38406703;
1298;1,38406693;
1300;1,38406683;
1302;1,38406673;
1304;1,38406664;
1306;1,38406654;
1308;1,38406645;
1310;1,38406636;
1312;1,38406627;
1314;1,38406618;
1316;1,38406609;
1318;1,384066;
1320;1,38406592;
1322;1,38406583;
1324;1,38406575;
1326;1,38406567;
1328;1,38406559;
1330;1,38406551;
1332;1,38406543;
1334;1,38406535;
1336;1,38406527;
1338;1,3840652;
1340;1,38406512;
1342;1,38406505;
1344;1,38406498;
1346;1,38406491;
1348;1,38406484;
1350;1,38406477;
1352;1,3840647;
1354;1,38406463;
1356;1,38406457;
1358;1,3840645;
1360;1,38406444;
1362;1,38406438;
1364;1,38406431;
1366;1,38406425;
1368;1,38406419;
1370;1,38406413;
1372;1,38406407;
1374;1,38406401;
1376;1,38406396;
1378;1,3840639;
1380;1,38406385;
1382;1,38406379;
1384;1,38406374;
1386;1,38406368;
1388;1,38406363;
1390;1,38406358;
1392;1,38406353;
1394;1,38406348;
1396;1,38406343;
1398;1,38406338;
1400;1,38406333;
1402;1,38406328;
1404;1,38406324;
1406;1,38406319;
1408;1,38406314;
1410;1,3840631;
1412;1,38406306;
1414;1,38406301;
1416;1,38406297;
1418;1,38406293;
1420;1,38406288;
1422;1,38406284;
1424;1,3840628;
1426;1,38406276;
1428;1,38406272;
1430;1,38406268;
1432;1,38406265;
1434;1,38406261;
1436;1,38406257;
1438;1,38406253;
1440;1,3840625;
1442;1,38406246;
1444;1,38406243;
1446;1,38406239;
1448;1,38406236;
1450;1,38406233;
1452;1,38406229;
1454;1,38406226;
1456;1,38406223;
1458;1,3840622;
1460;1,38406216;
1462;1,38406213;
1464;1,3840621;
1466;1,38406207;
1468;1,38406204;
1470;1,38406201;
1472;1,38406199;
1474;1,38406196;
1476;1,38406193;
1478;1,3840619;
1480;1,38406187;
1482;1,38406185;
1484;1,38406182;
1486;1,3840618;
1488;1,38406177;
1490;1,38406174;
1492;1,38406172;
1494;1,3840617;
1496;1,38406167;
1498;1,38406165;
1500;1,38406162;
1502;1,3840616;
1504;1,38406158;
1506;1,38406156;
1508;1,38406153;
1510;1,38406151;
1512;1,38406149;
1514;1,38406147;
1516;1,38406145;
1518;1,38406143;
1520;1,38406141;
1522;1,38406139;
1524;1,38406137;
1526;1,38406135;
1528;1,38406133;
1530;1,38406131;
1532;1,38406129;
1534;1,38406127;
1536;1,38406125;
1538;1,38406124;
1540;1,38406122;
1542;1,3840612;
1544;1,38406118;
1546;1,38406117;
1548;1,38406115;
1550;1,38406113;
1552;1,38406112;
1554;1,3840611;
1556;1,38406109;
1558;1,38406107;
1560;1,38406106;
1562;1,38406104;
1564;1,38406103;
1566;1,38406101;
1568;1,384061;
1570;1,38406098;
1572;1,38406097;
1574;1,38406095;
1576;1,38406094;
1578;1,38406093;
1580;1,38406091;
1582;1,3840609;
1584;1,38406089;
1586;1,38406088;
1588;1,38406086;
1590;1,38406085;
1592;1,38406084;
1594;1,38406083;
1596;1,38406081;
1598;1,3840608;
1600;1,38406079;
1602;1,38406078;
1604;1,38406077;
1606;1,38406076;
1608;1,38406075;
1610;1,38406074;
1612;1,38406073;
1614;1,38406072;
1616;1,38406071;
1618;1,3840607;
1620;1,38406069;
1622;1,38406068;
1624;1,38406067;
1626;1,38406066;
1628;1,38406065;
1630;1,38406064;
1632;1,38406063;
1634;1,38406062;
1636;1,38406061;
1638;1,3840606;
1640;1,38406059;
1642;1,38406059;
1644;1,38406058;
1646;1,38406057;
1648;1,38406056;
1650;1,38406055;
1652;1,38406055;
1654;1,38406054;
1656;1,38406053;
1658;1,38406052;
1660;1,38406051;
1662;1,38406051;
1664;1,3840605;
1666;1,38406049;
1668;1,38406049;
1670;1,38406048;
1672;1,38406047;
1674;1,38406047;
1676;1,38406046;
1678;1,38406045;
1680;1,38406045;
1682;1,38406044;
1684;1,38406043;
1686;1,38406043;
1688;1,38406042;
1690;1,38406041;
1692;1,38406041;
1694;1,3840604;
1696;1,3840604;
1698;1,38406039;
