;First Relaxation;;Second Relaxation;
Time;Experimental;Numerical;Experimental;Numerical
17.6;1.99728;2.042405077;1.68374;1.700722955
17.7;1.99626;2.041533696;1.68334;1.700447741
17.8;1.99594;2.04066622;1.68294;1.700173536
17.9;1.99503;2.039802629;1.68227;1.699900334
18;1.99448;2.038942905;1.68199;1.699628128
18.1;1.99259;2.038087027;1.68201;1.69935691
18.2;1.99251;2.037234975;1.68131;1.699086676
18.3;1.99164;2.03638673;1.68154;1.698817417
18.4;1.99059;2.035542273;1.68129;1.698549128
18.5;1.99;2.034701584;1.68108;1.698281803
18.6;1.98887;2.033864645;1.68085;1.698015435
18.7;1.98774;2.033031436;1.68026;1.697750019
18.8;1.98752;2.032201937;1.68022;1.697485548
18.9;1.98547;2.031376131;1.67933;1.697222017
19;1.98541;2.030553999;1.67997;1.69695942
19.1;1.98415;2.029735521;1.67921;1.69669775
19.2;1.98316;2.028920679;1.67884;1.696437003
19.3;1.98232;2.028109455;1.67843;1.696177173
19.4;1.98129;2.02730183;1.67834;1.695918255
19.5;1.97994;2.026497786;1.67781;1.695660243
19.6;1.97968;2.025697305;1.67759;1.695403131
19.7;1.97824;2.024900368;1.67736;1.695146915
19.8;1.97763;2.024106957;1.67774;1.69489159
19.9;1.97656;2.023317055;1.6763;1.694637149
20;1.97592;2.022530644;1.67638;1.694383589
20.1;1.97427;2.021747706;1.67629;1.694130903
20.2;1.97422;2.020968223;1.67712;1.693879088
20.3;1.97248;2.020192178;1.67566;1.693628138
20.4;1.97088;2.019419553;1.6761;1.693378049
20.5;1.97022;2.018650331;1.67561;1.693128815
20.6;1.96891;2.017884494;1.67565;1.692880432
20.7;1.96782;2.017122025;1.67435;1.692632895
20.8;1.96668;2.016362908;1.67431;1.6923862
20.9;1.96608;2.015607125;1.6737;1.692140342
21;1.96492;2.014854659;1.67442;1.691895316
21.1;1.96353;2.014105493;1.67369;1.691651118
21.2;1.96181;2.01335961;1.67344;1.691407744
21.3;1.95994;2.012616995;1.67259;1.691165188
21.4;1.95873;2.011877629;1.67283;1.690923448
21.5;1.95657;2.011141497;1.67313;1.690682517
21.6;1.95626;2.010408582;1.67248;1.690442393
21.7;1.95391;2.009678868;1.67156;1.69020307
21.8;1.95261;2.008952339;1.6717;1.689964545
21.9;1.95013;2.008228978;1.67191;1.689726814
22;1.94542;2.007508769;1.6714;1.689489871
22.1;1.93925;2.006791697;1.67246;1.689253714
22.2;1.93516;2.006077744;1.67138;1.689018338
22.3;1.93115;2.005366897;1.67032;1.688783739
22.4;1.92464;2.004659137;1.67025;1.688549913
22.5;1.91814;2.003954451;1.67036;1.688316857
22.6;1.91431;2.003252822;1.66968;1.688084565
22.7;1.91151;2.002554235;1.66939;1.687853034
22.8;1.90896;2.001858674;1.66913;1.687622261
22.9;1.90514;2.001166124;1.66899;1.687392241
23;1.90259;2.00047657;1.66916;1.687162971
23.1;1.90041;1.999789996;1.66868;1.686934447
23.2;1.89835;1.999106387;1.66826;1.686706665
23.3;1.89583;1.998425729;1.66852;1.686479622
23.4;1.89511;1.997748006;1.66765;1.686253313
