;;;First Relaxation;;;Second Relaxation;;
Numerical Time;Experimental Time;Experimental;Equation 1;Equation 2;Equation 3;Equation 1;Equation 2;Equation 3
8,4;8,4;0,63332;0,621250192;0,626231038;0,626230956;0,765681003;0,771859203;0,771858941
8,5;8,5;0,64245;0,625935053;0,633487889;0,633489298;0,771580746;0,780948279;0,780948791
8,6;8,6;0,65114;0,635764037;0,64074225;0,640742168;0,783859621;0,790037372;0,790037111
8,7;8,7;0,65758;0,640440593;0,647991166;0,647992562;0,789756761;0,799124965;0,799125462
8,8;8,8;0,66612;0,650262012;0,655237621;0,655237539;0,80203527;0,808212603;0,808212341
8,9;8,9;0,67433;0,654930346;0,662478686;0,662480067;0,807929891;0,817298794;0,817299279
9;9;0,68189;0,664744284;0,669717315;0,669717233;0,820208117;0,826385058;0,826384796
9,1;9,1;0,69075;0,669404476;0,67695061;0,676951978;0,826100298;0,835469927;0,835470399
9,2;9,2;0,69845;0,679211015;0,684181496;0,684181415;0,83837832;0,844554894;0,844554632
9,3;9,3;0,70652;0,683863147;0,691407102;0,691408456;0,844268136;0,853638515;0,853638975
9,4;9,4;0,71468;0,693662366;0,698630325;0,698630244;0,856546025;0,862722257;0,862721996
9,5;9,5;0,72397;0,698306519;0,705848321;0,705849663;0,862433547;0,871804701;0,871805149
9,6;9,6;0,73097;0,708098498;0,713063962;0,71306388;0,874711374;0,880887287;0,880887026
9,7;9,7;0,73984;0,71273475;0,720274427;0,720275756;0,880596669;0,88996862;0,889969057
9,8;9,8;0,74776;0,722519569;0,727482564;0,727482482;0,8928745;0,899050117;0,899049855
9,9;9,9;0,75684;0,727147999;0,734685578;0,734686893;0,898757632;0,908130401;0,908130828
10;10;0,76266;0,736925736;0,741886288;0,741886206;0,91103553;0,917210871;0,917210609
10,1;10,1;0,77216;0,741546421;0,749081927;0,749083229;0,916916559;0,926290168;0,926290585
10,2;10,2;0,77953;0,751317153;0,756275288;0,756275207;0,929194585;0,935369669;0,935369408
10,3;10,3;0,78709;0,755930171;0,76346363;0,763464919;0,935073568;0,944448036;0,944448444
10,4;10,4;0,79527;0,765693975;0,770649719;0,770649638;0,947351778;0,953526625;0,953526364
10,5;10,5;0,80424;0,770299401;0,777830839;0,777832116;0,953228772;0,962604117;0,962604516
10,6;10,6;0,80902;0,780056352;0,785009731;0,78500965;0,965507221;0,971681849;0,971681587
10,7;10,7;0,81835;0,784654263;0,792183705;0,792184969;0,971382277;0,980758517;0,980758908
10,8;10,8;0,82478;0,794404437;0,799355475;0,799355394;0,983661016;0,989835443;0,989835182
10,9;10,9;0,83238;0,798994906;0,806522377;0,806523629;0,989534185;0,998911339;0,998911721
11;11;0,84073;0,808738376;0,8136871;0,813687019;1,001813266;1,007987507;1,007987246
11,1;11,1;0,84652;0,813321478;0,820847003;0,820848242;1,007684596;1,017062678;1,017063053
11,2;11,2;0,85464;0,823058319;0,828004752;0,828004671;1,019964064;1,026138138;1,026137876
11,3;11,3;0,86101;0,827634126;0,83515773;0,835158957;1,025833602;1,035212629;1,035212996
11,4;11,4;0,86882;0,837364409;0,842308577;0,842308496;1,038113505;1,044287425;1,044287163
11,5;11,5;0,87692;0,841932994;0,849454702;0,849455917;1,043981293;1,053361282;1,053361642
11,6;11,6;0,88458;0,851656793;0,856598719;0,856598638;1,056261676;1,062435457;1,062435195
11,7;11,7;0,89089;0,856218228;0,863738062;0,863739265;1,062127758;1,071508722;1,071509075
11,8;11,8;0,89914;0,865935613;0,870875322;0,870875241;1,074408661;1,080582318;1,080582057
11,9;11,9;0,90596;0,870489968;0,878007953;0,878009145;1,080273079;1,089655032;1,089655378
12;12;0,91363;0,88020101;0,885138525;0,885138444;1,092554545;1,098728091;1,09872783
12,1;12,1;0,92088;0,884748355;0,892264515;0,892265695;1,098417337;1,107800293;1,107800633
12,2;12,2;0,92896;0,894453125;0,899388469;0,899388388;1,110699404;1,116872854;1,116872592
12,3;12,3;0,9375;0,898993529;0,906507888;0,906509056;1,116560609;1,125944582;1,125944916
12,4;12,4;0,94586;0,908692095;0,913625292;0,913625212;1,128843317;1,135016682;1,135016421
12,5;12,5;0,95;0,913225628;0,920738208;0,920739365;1,134702971;1,144087974;1,144088302
12,6;12,6;0,96046;0,922918058;0,927849132;0,927849051;1,146986356;1,153159649;1,153159388
12,7;12,7;0,96717;0,927444788;0,934955612;0,934956758;1,152844496;1,162230541;1,162230863
12,8;12,8;0,9744;0,937131151;0,942060123;0,942060042;1,165128594;1,171301827;1,171301566
12,9;12,9;0,98382;0,941651144;0,949160235;0,949161369;1,170985253;1,180372353;1,180372669
13;13;0,99103;0,951331506;0,9562584;0,956258319;1,183270099;1,189443285;1,189443024
13,1;13,1;0,99945;0,95584483;0,96335221;0,963353333;1,189125312;1,198513479;1,19851379
13,2;13,2;1,00617;0,965519258;0,970444095;0,970444015;1,20141094;1,20758409;1,207583828
13,3;13,3;1,01366;0,970025978;0,97753167;0,977532782;1,207264739;1,216653984;1,216654289
13,4;13,4;1,0216;0,979694537;0,984617341;0,984617261;1,219551182;1,225724306;1,225724044
13,5;13,5;1,02981;0,984194719;0,991698745;0,991699846;1,225403598;1,234793933;1,234794232
13,6;13,6;1,03681;0,993857475;0,998778266;0,998778186;1,237690888;1,243863997;1,243863736
13,7;13,7;1,04585;0,998351183;1,005853564;1,005854655;1,243541953;1,252933387;1,252933682
13,8;13,8;1,05271;1,0080082;1,012927001;1,012926921;1,25583012;1,262003226;1,262002964
13,9;13,9;1,06095;1,012495498;1,019996257;1,019997337;1,261679864;1,27107241;1,271072699
14;14;1,06874;1,02214684;1,027063672;1,027063592;1,273968939;1,280142051;1,28014179
14,1;14,1;1,07609;1,026627792;1,034126948;1,034128018;1,279817391;1,289211058;1,289211343
14,2;14,2;1,08502;1,036273522;1,041188406;1,041188326;1,292107404;1,298280533;1,298280272
14,3;14,3;1,09285;1,04074819;1,048245766;1,048246825;1,297954592;1,307349392;1,307349672
14,4;14,4;1,09843;1,050388369;1,055301327;1,055301247;1,310245573;1,316418728;1,316418467
14,5;14,5;1,10806;1,054856816;1,062352832;1,062353881;1,316091525;1,325487467;1,325487743
14,6;14,6;1,11554;1,064491508;1,069402559;1,069402479;1,328383501;1,334556692;1,334556431
14,7;14,7;1,12244;1,068953794;1,076448271;1,076449309;1,334228246;1,343625339;1,34362561
14,8;14,8;1,13201;1,078583059;1,083492225;1,083492145;1,346521245;1,352694481;1,35269422
14,9;14,9;1,13883;1,083039245;1,090532204;1,090533232;1,352364807;1,361763062;1,361763329
15;15;1,14483;1,092663144;1,097570445;1,097570365;1,364658857;1,370832148;1,370831886
15,1;15,1;1,1528;1,097113291;1,104604752;1,10460577;1,370501264;1,37990069;1,379900952
15,2;15,2;1,16212;1,106731883;1,11163734;1,11163726;1,38279639;1,388969745;1,388969484
15,3;15,3;1,16987;1,111176051;1,118666033;1,118667042;1,388637668;1,398038274;1,398038532
15,4;15,4;1,1768;1,120789396;1,125693028;1,125692948;1,400933897;1,407107325;1,407107063
15,5;15,5;1,18502;1,125227642;1,132716167;1,132717166;1,40677407;1,416175866;1,41617612
15,6;15,6;1,19406;1,1348358;1,139737626;1,139737547;1,419071428;1,425244937;1,425244676
15,7;15,7;1,20125;1,139268183;1,146755269;1,146756258;1,424910521;1,434313516;1,434313765
15,8;15,8;1,20934;1,148871211;1,153771252;1,153771172;1,437209034;1,443382632;1,443382371
15,9;15,9;1,21715;1,15329779;1,160783456;1,160784436;1,443047071;1,452451273;1,452451518
16;16;1,22433;1,162895744;1,167794019;1,16779394;1,455346762;1,461520459;1,461520198
16,1;16,1;1,23386;1,167316575;1,174800842;1,174801812;1,461183767;1,470589185;1,470589427
16,2;16,2;1,24116;1,176909515;1,181806043;1,181805963;1,473484661;1,479658465;1,479658204
16,3;16,3;1,24694;1,181324655;1,188807541;1,188808501;1,479320658;1,488727301;1,488727539
16,4;16,4;1,25806;1,190912635;1,195807435;1,195807356;1,491622779;1,497796698;1,497796437
16,5;16,5;1,26487;1,19532214;1,202803664;1,202804615;1,49745779;1,506865666;1,5068659
16,6;16,6;1,2711;1,204905216;1,209798307;1,209798228;1,509761162;1,515935204;1,515934943
16,7;16,7;1,2809;1,209309141;1,216789323;1,216790265;1,51559521;1,525004328;1,525004558
16,8;16,8;1,28886;1,21888737;1,223778771;1,223778691;1,527899856;1,534074029;1,534073768
16,9;16,9;1,29726;1,22328577;1,230764627;1,23076556;1,533732964;1,543143331;1,543143558
