Time;Strain;Reduced Relaxation Function;Elastic Response;Stress;Stress by dG
296,4;0,02;0,910646236033085;1,53;1,39328874113062;1,510354338107196
297,4;0,02;0,9106030655326832;1,53;1,3932226902650053;1,5104291298885266
298,4;0,02;0,9105602040073109;1,53;1,3931571121311856;1,5105038574090814
299,4;0,02;0,9105176492455949;1,53;1,39309200334576;1,5105785177578854
300,4;0,02;0,9104753990519903;1,53;1,3930273605495451;1,5106531080689043
301,4;0,02;0,9104334512466666;1,53;1,3929631804074;1,5107276255205508
302,4;0,02;0,9103918036653952;1,53;1,3928994596080546;1,5108020673351967
303,4;0,02;0,9103504541594378;1,53;1,3928361948639398;1,5108764307786915
304,4;0,02;0,9103094005954354;1,53;1,3927733829110163;1,510950713159879
305,4;0,02;0,9102686408552983;1,53;1,3927110205086064;1,5110249118301287
306,4;0,02;0,9102281728360969;1,53;1,3926491044392284;1,5110990241828564
307,4;0,02;0,9101879944499526;1,53;1,3925876315084276;1,5111730476530703
308,4;0,02;0,9101481036239306;1,53;1,3925265985446138;1,5112469797169055
309,4;0,02;0,9101084982999328;1,53;1,3924660023988973;1,511320817891158
310,4;0,02;0,9100691764345914;1,53;1,3924058399449248;1,5113945597328515
311,4;0,02;0,9100301359991639;1,53;1,392346108078721;1,5114682028387707
312,4;0,02;0,9099913749794275;1,53;1,392286803718524;1,5115417448450292
313,4;0,02;0,9099528913755761;1,53;1,3922279238046316;1,5116151834266291
314,4;0,02;0,9099146832021167;1,53;1,3921694652992385;1,5116885162970186
315,4;0,02;0,9098767484877667;1,53;1,392111425186283;1,5117617412076736
316,4;0,02;0,9098390852753526;1,53;1,3920538004712895;1,5118348559476558
317,4;0,02;0,9098016916217089;1,53;1,3919965881812146;1,5119078583432035
318,4;0,02;0,9097645655975777;1,53;1,3919397853642939;1,5119807462573063
319,4;0,02;0,9097277052875091;1,53;1,391883389089889;1,512053517589295
320,4;0,02;0,9096911087897626;1,53;1,3918273964483368;1,5121261702744238
321,4;0,02;0,9096547742162084;1,53;1,391771804550799;1,5121987022834726
322,4;0,02;0,9096186996922311;1,53;1,3917166105291137;1,5122711116223402
323,4;0,02;0,9095828833566317;1,53;1,3916618115356465;1,5123433963316448
324,4;0,02;0,9095473233615324;1,53;1,3916074047431446;1,5124155544863336
325,4;0,02;0,9095120178722809;1,53;1,3915533873445898;1,5124875841952874
326,4;0,02;0,9094769650673556;1,53;1,3914997565530542;1,5125594836009355
327,4;0,02;0,9094421631382722;1,53;1,3914465096015565;1,512631250878876
328,4;0,02;0,9094076102894897;1,53;1,3913936437429193;1,5127028842374886
329,4;0,02;0,9093733047383181;1,53;1,3913411562496267;1,5127743819175692
330,4;0,02;0,9093392447148265;1,53;1,3912890444136845;1,5128457421919452
331,4;0,02;0,9093054284617517;1,53;1,3912373055464802;1,512916963365123
332,4;0,02;0,9092718542344072;1,53;1,391185936978643;1,5129880437729057
333,4;0,02;0,9092385203005934;1,53;1,391134936059908;1,51305898178205
334,4;0,02;0,9092054249405088;1,53;1,3910843001589785;1,5131297757898927
335,4;0,02;0,9091725664466604;1,53;1,3910340266633905;1,5132004242240034
336,4;0,02;0,9091399431237759;1,53;1,3909841129793772;1,5132709255418417
337,4;0,02;0,9091075532887163;1,53;1,390934556531736;1,5133412782303945
338,4;0,02;0,909075395270389;1,53;1,3908853547636952;1,5134114808058419
339,4;0,02;0,9090434674096619;1,53;1,3908365051367828;1,513481531813219
340,4;0,02;0,9090117680592773;1,53;1,3907880051306942;1,513551429826073
341,4;0,02;0,9089802955837668;1,53;1,3907398522431633;1,5136211734461305
342,4;0,02;0,9089490483593677;1,53;1,3906920439898327;1,5136907613029713
343,4;0,02;0,9089180247739387;1,53;1,390644577904126;1,5137601920537016
344,4;0,02;0,9088872232268763;1,53;1,3905974515371209;1,51382946438262
345,4;0,02;0,9088566421290334;1,53;1,390550662457421;1,5138985770009106
346,4;0,02;0,908826279902636;1,53;1,390504208251033;1,513967528646322
347,4;0,02;0,9087961349812027;1,53;1,3904580865212401;1,5140363180828424
348,4;0,02;0,9087662058094635;1,53;1,3904122948884792;1,514104944100405
349,4;0,02;0,9087364908432797;1,53;1,390366830990218;1,5141734055145681
350,4;0,02;0,9087069885495639;1,53;1,3903216924808328;1,5142417011662177
351,4;0,02;0,9086776974062015;1,53;1,3902768770314884;1,5143098299212596
352,4;0,02;0,9086486159019714;1,53;1,3902323823300162;1,5143777906703246
353,4;0,02;0,9086197425364692;1,53;1,3901882060807977;1,5144455823284704
354,4;0,02;0,9085910758200281;1,53;1,390144346004643;1,514513203834894
355,4;0,02;0,9085626142736437;1,53;1,390100799838675;1,514580654152634
356,4;0,02;0,9085343564288966;1,53;1,3900575653362117;1,5146479322682864
357,4;0,02;0,9085063008278771;1,53;1,390014640266652;1,5147150371917286
358,4;0,02;0,9084784460231101;1,53;1,3899720224153584;1,5147819679558223
359,4;0,02;0,9084507905774799;1,53;1,3899297095835443;1,5148487236161503
360,4;0,02;0,9084233330641566;1,53;1,3898876995881595;1,5149153032507319
361,4;0,02;0,9083960720665222;1,53;1,389845990261779;1,514981705959754
362,4;0,02;0,9083690061780975;1,53;1,3898045794524891;1,515047930865301
363,4;0,02;0,9083421340024697;1,53;1,3897634650237787;1,515113977111084
364,4;0,02;0,9083154541532199;1,53;1,3897226448544264;1,5151798438621777
365,4;0,02;0,9082889652538526;1,53;1,3896821168383946;1,5152455303047638
366,4;0,02;0,9082626659377233;1,53;1,3896418788847167;1,515311035645865
367,4;0,02;0,9082365548479694;1,53;1,389601928917393;1,5153763591130873
368,4;0,02;0,9082106306374387;1,53;1,3895622648752812;1,5154414999543782
369,4;0,02;0,9081848919686212;1,53;1,3895228847119905;1,515506457437756
370,4;0,02;0,9081593375135796;1,53;1,3894837863957767;1,5155712308510774
371,4;0,02;0,9081339659538805;1,53;1,3894449679094372;1,515635819501783
372,4;0,02;0,9081087759805268;1,53;1,389406427250206;1,5157002227166563
373,4;0,02;0,9080837662938899;1,53;1,3893681624296514;1,5157644398415784
374,4;0,02;0,908058935603643;1,53;1,389330171473574;1,5158284702412992
375,4;0,02;0,9080342826286939;1,53;1,3892924524219017;1,5158923132991873
376,4;0,02;0,9080098060971196;1,53;1,3892550033285929;1,5159559684170036
377,4;0,02;0,9079855047461004;1,53;1,3892178222615337;1,5160194350146707
378,4;0,02;0,9079613773218543;1,53;1,3891809073024373;1,5160827125300378
379,4;0,02;0,9079374225795731;1,53;1,389144256546747;1,5161458004186623
380,4;0,02;0,9079136392833577;1,53;1,3891078681035371;1,5162086981535765
381,4;0,02;0,9078900262061546;1,53;1,3890717400954165;1,51627140522507
382,4;0,02;0,9078665821296918;1,53;1,3890358706584285;1,516333921140469
383,4;0,02;0,9078433058444175;1,53;1,389000257941959;1,5163962454239197
384,4;0,02;0,9078201961494361;1,53;1,3889649001086373;1,5164583776161678
385,4;0,02;0,9077972518524471;1,53;1,388929795334244;1,5165203172743538
386,4;0,02;0,9077744717696834;1,53;1,3888949418076155;1,516582063971792
387,4;0,02;0,9077518547258503;1,53;1,388860337730551;1,5166436172977704
388,4;0,02;0,9077293995540645;1,53;1,3888259813177186;1,5167049768573377
389,4;0,02;0,9077071050957946;1,53;1,3887918707965656;1,5167661422711034
390,4;0,02;0,9076849702008006;1,53;1,388758004407225;1,5168271131750297
391,4;0,02;0,9076629937270749;1,53;1,3887243804024247;1,516887889220239
392,4;0,02;0,9076411745407836;1,53;1,388690997047399;1,5169484700728078
393,4;0,02;0,9076195115162073;1,53;1,3886578526197972;1,5170088554135748
394,4;0,02;0,907598003535684;1,53;1,3886249454095965;1,517069044937944
395,4;0,02;0,9075766494895503;1,53;1,388592273719012;1,5171290383556966
396,4;0,02;0,9075554482760853;1,53;1,3885598358624105;1,5171888353908005
397,4;0,02;0,9075343988014529;1,53;1,388527630166223;1,5172484357812135
