Time;Strain;Reduced Relaxation Function;Elastic Response;Stress;;
15.7;0.06;0.903343062;2.28012;2.059730582;;
15.8;0.06;0.902926634;2.28012;2.058781078;;
15.9;0.06;0.902512095;2.28012;2.057835877;;
16;0.06;0.902099432;2.28012;2.056894958;;
16.1;0.06;0.901688639;2.28012;2.055958298;;
16.2;0.06;0.901279703;2.28012;2.055025877;;
16.3;0.06;0.900872617;2.28012;2.054097672;;
16.4;0.06;0.900467371;2.28012;2.053173662;;
16.5;0.06;0.900063955;2.28012;2.052253826;;
16.6;0.06;0.899662361;2.28012;2.051338142;;
16.7;0.06;0.899262578;2.28012;2.050426589;;
16.8;0.06;0.898864597;2.28012;2.049519146;;
16.9;0.06;0.898468411;2.28012;2.048615792;;
17;0.06;0.898074008;2.28012;2.047716507;;
17.1;0.06;0.89768138;2.28012;2.046821269;;
17.2;0.06;0.897290519;2.28012;2.045930058;;
17.3;0.06;0.896901415;2.28012;2.045042854;;
17.4;0.06;0.896514059;2.28012;2.044159636;;
17.5;0.06;0.896128442;2.28012;2.043280384;;
17.6;0.06;0.895744556;2.28012;2.042405077;;
17.7;0.06;0.895362391;2.28012;2.041533696;;
17.8;0.06;0.894981939;2.28012;2.04066622;;
17.9;0.06;0.894603192;2.28012;2.039802629;;
18;0.06;0.894226139;2.28012;2.038942905;;
18.1;0.06;0.893850774;2.28012;2.038087027;;
18.2;0.06;0.893477087;2.28012;2.037234975;;
18.3;0.06;0.893105069;2.28012;2.03638673;;
18.4;0.06;0.892734713;2.28012;2.035542273;;
18.5;0.06;0.892366009;2.28012;2.034701584;;
18.6;0.06;0.89199895;2.28012;2.033864645;;
18.7;0.06;0.891633526;2.28012;2.033031436;;
18.8;0.06;0.89126973;2.28012;2.032201937;;
18.9;0.06;0.890907554;2.28012;2.031376131;;
19;0.06;0.890546988;2.28012;2.030553999;;
19.1;0.06;0.890188026;2.28012;2.029735521;;
19.2;0.06;0.889830658;2.28012;2.028920679;;
19.3;0.06;0.889474876;2.28012;2.028109455;;
19.4;0.06;0.889120673;2.28012;2.02730183;;
19.5;0.06;0.888768041;2.28012;2.026497786;;
19.6;0.06;0.888416971;2.28012;2.025697305;;
19.7;0.06;0.888067456;2.28012;2.024900368;;
19.8;0.06;0.887719487;2.28012;2.024106957;;
19.9;0.06;0.887373057;2.28012;2.023317055;;
20;0.06;0.887028158;2.28012;2.022530644;;
20.1;0.06;0.886684782;2.28012;2.021747706;;
20.2;0.06;0.886342922;2.28012;2.020968223;;
20.3;0.06;0.886002569;2.28012;2.020192178;;
20.4;0.06;0.885663716;2.28012;2.019419553;;
20.5;0.06;0.885326356;2.28012;2.018650331;;
20.6;0.06;0.88499048;2.28012;2.017884494;;
20.7;0.06;0.884656082;2.28012;2.017122025;;
20.8;0.06;0.884323153;2.28012;2.016362908;;
20.9;0.06;0.883991687;2.28012;2.015607125;;
21;0.06;0.883661675;2.28012;2.014854659;;
21.1;0.06;0.883333111;2.28012;2.014105493;;
21.2;0.06;0.883005987;2.28012;2.01335961;;
21.3;0.06;0.882680295;2.28012;2.012616995;;
21.4;0.06;0.882356029;2.28012;2.011877629;;
21.5;0.06;0.882033181;2.28012;2.011141497;;
21.6;0.06;0.881711744;2.28012;2.010408582;;
21.7;0.06;0.881391711;2.28012;2.009678868;;
21.8;0.06;0.881073075;2.28012;2.008952339;;
21.9;0.06;0.880755828;2.28012;2.008228978;;
22;0.06;0.880439963;2.28012;2.007508769;;
22.1;0.06;0.880125474;2.28012;2.006791697;;
22.2;0.06;0.879812354;2.28012;2.006077744;;
22.3;0.06;0.879500595;2.28012;2.005366897;;
22.4;0.06;0.879190191;2.28012;2.004659137;;
22.5;0.06;0.878881134;2.28012;2.003954451;;
22.6;0.06;0.878573418;2.28012;2.003252822;;
22.7;0.06;0.878267036;2.28012;2.002554235;;
22.8;0.06;0.877961982;2.28012;2.001858674;;
22.9;0.06;0.877658248;2.28012;2.001166124;;
23;0.06;0.877355828;2.28012;2.00047657;;
23.1;0.06;0.877054715;2.28012;1.999789996;;
23.2;0.06;0.876754902;2.28012;1.999106387;;
23.3;0.06;0.876456383;2.28012;1.998425729;;
23.4;0.06;0.876159152;2.28012;1.997748006;;
23.5;0.06;0.875863201;2.28012;1.997073203;;
23.6;0.06;0.875568525;2.28012;1.996401306;;
23.7;0.06;0.875275117;2.28012;1.995732299;;
23.8;0.06;0.874982969;2.28012;1.995066168;;
23.9;0.06;0.874692077;2.28012;1.994402899;;
24;0.06;0.874402433;2.28012;1.993742477;;
24.1;0.06;0.874114032;2.28012;1.993084887;;
24.2;0.06;0.873826866;2.28012;1.992430115;;
24.3;0.06;0.87354093;2.28012;1.991778146;;
24.4;0.06;0.873256218;2.28012;1.991128968;;
24.5;0.06;0.872972723;2.28012;1.990482564;;
24.6;0.06;0.872690438;2.28012;1.989838922;;
24.7;0.06;0.872409359;2.28012;1.989198027;;
24.8;0.06;0.872129478;2.28012;1.988559866;;
24.9;0.06;0.87185079;2.28012;1.987924423;;
25;0.06;0.871573288;2.28012;1.987291687;;
25.1;0.06;0.871296968;2.28012;1.986661642;;
25.2;0.06;0.871021821;2.28012;1.986034275;;
25.3;0.06;0.870747843;2.28012;1.985409573;;
25.4;0.06;0.870475028;2.28012;1.984787522;;
25.5;0.06;0.87020337;2.28012;1.984168108;;
25.6;0.06;0.869932863;2.28012;1.983551319;;
25.7;0.06;0.869663501;2.28012;1.982937141;;
25.8;0.06;0.869395278;2.28012;1.98232556;;
25.9;0.06;0.869128188;2.28012;1.981716564;;
26;0.06;0.868862226;2.28012;1.981110139;;
26.1;0.06;0.868597386;2.28012;1.980506273;;
26.2;0.06;0.868333663;2.28012;1.979904951;;
26.3;0.06;0.86807105;2.28012;1.979306163;;
26.4;0.06;0.867809542;2.28012;1.978709893;;
26.5;0.06;0.867549134;2.28012;1.978116131;;
26.6;0.06;0.867289819;2.28012;1.977524863;;
26.7;0.06;0.867031593;2.28012;1.976936076;;
26.8;0.06;0.86677445;2.28012;1.976349758;;
26.9;0.06;0.866518383;2.28012;1.975765896;;
27;0.06;0.866263389;2.28012;1.975184478;;
27.1;0.06;0.866009461;2.28012;1.974605492;;
27.2;0.06;0.865756594;2.28012;1.974028925;;
27.3;0.06;0.865504782;2.28012;1.973454764;;
27.4;0.06;0.865254021;2.28012;1.972882999;;
27.5;0.06;0.865004305;2.28012;1.972313615;;
27.6;0.06;0.864755628;2.28012;1.971746603;;
27.7;0.06;0.864507986;2.28012;1.971181949;;
27.8;0.06;0.864261373;2.28012;1.970619641;;
27.9;0.06;0.864015783;2.28012;1.970059668;;
28;0.06;0.863771213;2.28012;1.969502017;;
28.1;0.06;0.863527656;2.28012;1.968946678;;
28.2;0.06;0.863285107;2.28012;1.968393638;;
28.3;0.06;0.863043561;2.28012;1.967842885;;
28.4;0.06;0.862803014;2.28012;1.967294409;;
28.5;0.06;0.86256346;2.28012;1.966748197;;
28.6;0.06;0.862324894;2.28012;1.966204238;;
28.7;0.06;0.862087312;2.28012;1.965662521;;
28.8;0.06;0.861850707;2.28012;1.965123034;;
28.9;0.06;0.861615075;2.28012;1.964585766;;
29;0.06;0.861380412;2.28012;1.964050705;;
29.1;0.06;0.861146712;2.28012;1.963517842;;
29.2;0.06;0.860913971;2.28012;1.962987163;;
29.3;0.06;0.860682183;2.28012;1.962458659;;
29.4;0.06;0.860451344;2.28012;1.961932319;;
29.5;0.06;0.860221449;2.28012;1.961408131;;
29.6;0.06;0.859992493;2.28012;1.960886084;;
29.7;0.06;0.859764472;2.28012;1.960366168;;
29.8;0.06;0.85953738;2.28012;1.959848372;;
29.9;0.06;0.859311214;2.28012;1.959332685;;
30;0.06;0.859085967;2.28012;1.958819096;;
30.1;0.06;0.858861637;2.28012;1.958307595;;
30.2;0.06;0.858638217;2.28012;1.957798172;;
30.3;0.06;0.858415704;2.28012;1.957290815;;
30.4;0.06;0.858194093;2.28012;1.956785515;;
30.5;0.06;0.857973379;2.28012;1.95628226;;
30.6;0.06;0.857753557;2.28012;1.955781041;;
30.7;0.06;0.857534624;2.28012;1.955281848;;
30.8;0.06;0.857316575;2.28012;1.954784669;;
30.9;0.06;0.857099405;2.28012;1.954289495;;
31;0.06;0.85688311;2.28012;1.953796316;;
31.1;0.06;0.856667685;2.28012;1.953305121;;
31.2;0.06;0.856453126;2.28012;1.952815901;;
31.3;0.06;0.856239428;2.28012;1.952328646;;
31.4;0.06;0.856026588;2.28012;1.951843345;;
31.5;0.06;0.855814601;2.28012;1.951359989;;
31.6;0.06;0.855603463;2.28012;1.950878567;;
31.7;0.06;0.855393168;2.28012;1.950399071;;
31.8;0.06;0.855183714;2.28012;1.949921491;;
31.9;0.06;0.854975096;2.28012;1.949445816;;
32;0.06;0.854767309;2.28012;1.948972037;;
32.1;0.06;0.85456035;2.28012;1.948500144;;
32.2;0.06;0.854354213;2.28012;1.948030129;;
32.3;0.06;0.854148896;2.28012;1.947561981;;
32.4;0.06;0.853944394;2.28012;1.947095691;;
32.5;0.06;0.853740702;2.28012;1.94663125;;
32.6;0.06;0.853537817;2.28012;1.946168648;;
32.7;0.06;0.853335735;2.28012;1.945707876;;
32.8;0.06;0.853134451;2.28012;1.945248925;;
32.9;0.06;0.852933962;2.28012;1.944791785;;
33;0.06;0.852734263;2.28012;1.944336448;;
33.1;0.06;0.852535351;2.28012;1.943882904;;
33.2;0.06;0.852337221;2.28012;1.943431145;;
33.3;0.06;0.85213987;2.28012;1.94298116;;
33.4;0.06;0.851943293;2.28012;1.942532942;;
33.5;0.06;0.851747488;2.28012;1.942086482;;
33.6;0.06;0.851552449;2.28012;1.94164177;;
33.7;0.06;0.851358173;2.28012;1.941198797;;
33.8;0.06;0.851164656;2.28012;1.940757556;;
33.9;0.06;0.850971895;2.28012;1.940318036;;
34;0.06;0.850779885;2.28012;1.939880231;;
34.1;0.06;0.850588622;2.28012;1.93944413;;
34.2;0.06;0.850398104;2.28012;1.939009725;;
34.3;0.06;0.850208326;2.28012;1.938577008;;
34.4;0.06;0.850019284;2.28012;1.93814597;;
34.5;0.06;0.849830975;2.28012;1.937716602;;
34.6;0.06;0.849643395;2.28012;1.937288897;;
34.7;0.06;0.84945654;2.28012;1.936862846;;
34.8;0.06;0.849270407;2.28012;1.93643844;;
34.9;0.06;0.849084992;2.28012;1.936015672;;
35;0.06;0.848900291;2.28012;1.935594532;;
35.1;0.06;0.848716302;2.28012;1.935175014;;
35.2;0.06;0.848533019;2.28012;1.934757108;;
35.3;0.06;0.84835044;2.28012;1.934340806;;
35.4;0.06;0.848168562;2.28012;1.933926101;;
35.5;0.06;0.847987379;2.28012;1.933512984;;
35.6;0.06;0.84780689;2.28012;1.933101447;;
35.7;0.06;0.847627091;2.28012;1.932691483;;
35.8;0.06;0.847447978;2.28012;1.932283083;;
35.9;0.06;0.847269547;2.28012;1.93187624;;
36;0.06;0.847091796;2.28012;1.931470945;;
36.1;0.06;0.84691472;2.28012;1.931067191;;
36.2;0.06;0.846738317;2.28012;1.930664971;;
36.3;0.06;0.846562583;2.28012;1.930264276;;
36.4;0.06;0.846387514;2.28012;1.929865098;;
36.5;0.06;0.846213108;2.28012;1.929467431;;
36.6;0.06;0.84603936;2.28012;1.929071266;;
36.7;0.06;0.845866269;2.28012;1.928676596;;
36.8;0.06;0.845693829;2.28012;1.928283414;;
36.9;0.06;0.845522039;2.28012;1.927891711;;
37;0.06;0.845350894;2.28012;1.927501481;;
37.1;0.06;0.845180392;2.28012;1.927112716;;
37.2;0.06;0.84501053;2.28012;1.926725409;;
37.3;0.06;0.844841303;2.28012;1.926339552;;
37.4;0.06;0.844672709;2.28012;1.925955138;;
37.5;0.06;0.844504745;2.28012;1.925572159;;
37.6;0.06;0.844337408;2.28012;1.92519061;;
37.7;0.06;0.844170693;2.28012;1.924810482;;
37.8;0.06;0.8440046;2.28012;1.924431768;;
37.9;0.06;0.843839123;2.28012;1.924054461;;
38;0.06;0.84367426;2.28012;1.923678554;;
38.1;0.06;0.843510008;2.28012;1.92330404;;
38.2;0.06;0.843346364;2.28012;1.922930912;;
38.3;0.06;0.843183325;2.28012;1.922559163;;
38.4;0.06;0.843020888;2.28012;1.922188786;;
38.5;0.06;0.842859049;2.28012;1.921819775;;
38.6;0.06;0.842697806;2.28012;1.921452121;;
38.7;0.06;0.842537156;2.28012;1.92108582;;
38.8;0.06;0.842377095;2.28012;1.920720863;;
38.9;0.06;0.842217622;2.28012;1.920357244;;
39;0.06;0.842058732;2.28012;1.919994956;;
39.1;0.06;0.841900423;2.28012;1.919633993;;
39.2;0.06;0.841742692;2.28012;1.919274347;;
39.3;0.06;0.841585536;2.28012;1.918916013;;
39.4;0.06;0.841428953;2.28012;1.918558984;;
39.5;0.06;0.841272938;2.28012;1.918203252;;
39.6;0.06;0.841117491;2.28012;1.917848813;;
39.7;0.06;0.840962607;2.28012;1.917495658;;
39.8;0.06;0.840808283;2.28012;1.917143783;;
39.9;0.06;0.840654518;2.28012;1.916793179;;
40;0.06;0.840501308;2.28012;1.916443842;;
40.1;0.06;0.84034865;2.28012;1.916095763;;
40.2;0.06;0.840196542;2.28012;1.915748939;;
40.3;0.06;0.84004498;2.28012;1.915403361;;
40.4;0.06;0.839893963;2.28012;1.915059023;;
40.5;0.06;0.839743487;2.28012;1.914715921;;
40.6;0.06;0.83959355;2.28012;1.914374046;;
40.7;0.06;0.839444149;2.28012;1.914033394;;
40.8;0.06;0.839295281;2.28012;1.913693957;;
40.9;0.06;0.839146944;2.28012;1.913355731;;
41;0.06;0.838999135;2.28012;1.913018708;;
41.1;0.06;0.838851851;2.28012;1.912682883;;
41.2;0.06;0.83870509;2.28012;1.91234825;;
41.3;0.06;0.838558849;2.28012;1.912014802;;
41.4;0.06;0.838413125;2.28012;1.911682535;;
41.5;0.06;0.838267916;2.28012;1.911351441;;
41.6;0.06;0.83812322;2.28012;1.911021516;;
41.7;0.06;0.837979033;2.28012;1.910692752;;
41.8;0.06;0.837835353;2.28012;1.910365145;;
41.9;0.06;0.837692178;2.28012;1.910038689;;
42;0.06;0.837549505;2.28012;1.909713378;;
42.1;0.06;0.837407332;2.28012;1.909389205;;
42.2;0.06;0.837265655;2.28012;1.909066166;;
42.3;0.06;0.837124474;2.28012;1.908744255;;
42.4;0.06;0.836983784;2.28012;1.908423466;;
42.5;0.06;0.836843584;2.28012;1.908103793;;
42.6;0.06;0.836703872;2.28012;1.907785232;;
42.7;0.06;0.836564644;2.28012;1.907467775;;
42.8;0.06;0.836425898;2.28012;1.907151419;;
42.9;0.06;0.836287632;2.28012;1.906836156;;
43;0.06;0.836149844;2.28012;1.906521983;;
43.1;0.06;0.836012531;2.28012;1.906208893;;
