Time;Strain;Reduced Relaxation Function;Elastic Response;Stress;Stress by Integral;Stress by dG
14.6;0.0292;0.93643955;1.395596328;1.328383501;1.334556692;1.334556431
14.7;0.0294;0.936270007;1.405276563;1.334228246;1.343625339;1.34362561
14.8;0.0296;0.936101176;1.414958463;1.346521245;1.352694481;1.35269422
14.9;0.0298;0.935933051;1.424642029;1.352364807;1.361763062;1.361763329
15;0.03;0.935765622;1.43432726;1.364658857;1.370832148;1.370831886
15.1;0.0302;0.935598884;1.444014158;1.370501264;1.37990069;1.379900952
15.2;0.0304;0.93543283;1.453702721;1.38279639;1.388969745;1.388969484
15.3;0.0306;0.935267453;1.463392952;1.388637668;1.398038274;1.398038532
15.4;0.0308;0.935102746;1.473084849;1.400933897;1.407107325;1.407107063
15.5;0.031;0.934938703;1.482778413;1.40677407;1.416175866;1.41617612
15.6;0.0312;0.934775319;1.492473645;1.419071428;1.425244937;1.425244676
15.7;0.0314;0.934612586;1.502170544;1.424910521;1.434313516;1.434313765
15.8;0.0316;0.9344505;1.511869111;1.437209034;1.443382632;1.443382371
15.9;0.0318;0.934289055;1.521569347;1.443047071;1.452451273;1.452451518
16;0.032;0.934128244;1.531271251;1.455346762;1.461520459;1.461520198
16.1;0.0322;0.933968063;1.540974824;1.461183767;1.470589185;1.470589427
16.2;0.0324;0.933808506;1.550680067;1.473484661;1.479658465;1.479658204
16.3;0.0326;0.933649568;1.560386978;1.479320658;1.488727301;1.488727539
16.4;0.0328;0.933491244;1.57009556;1.491622779;1.497796698;1.497796437
16.5;0.033;0.933333529;1.579805811;1.49745779;1.506865666;1.5068659
16.6;0.0332;0.933176418;1.589517733;1.509761162;1.515935204;1.515934943
16.7;0.0334;0.933019907;1.599231326;1.51559521;1.525004328;1.525004558
16.8;0.0336;0.93286399;1.608946589;1.527899856;1.534074029;1.534073768
16.9;0.0338;0.932708663;1.618663523;1.533732964;1.543143331;1.543143558
17;0.034;0.932553922;1.628382129;1.546038907;1.552213218;1.552212956
17.1;0.0342;0.932399762;1.638102407;1.551871095;1.561282721;1.561282943
17.2;0.0344;0.93224618;1.647824357;1.564178357;1.570352815;1.570352554
17.3;0.0346;0.93209317;1.657547979;1.570009649;1.57942254;1.579422759
17.4;0.0348;0.931940728;1.667273273;1.582318252;1.588492864;1.588492603
17.5;0.035;0.931788852;1.677000241;1.588148668;1.597562833;1.597563049
17.6;0.0352;0.931637536;1.686728881;1.600458635;1.606633408;1.606633147
17.7;0.0354;0.931486777;1.696459195;1.606288196;1.615703643;1.615703855
17.8;0.0356;0.93133657;1.706191183;1.618599548;1.62477449;1.624774229
17.9;0.0358;0.931186913;1.715924845;1.624428275;1.633845011;1.633845219
18;0.036;0.931037802;1.725660182;1.636741033;1.642916152;1.64291589
18.1;0.0362;0.930889232;1.735397193;1.642568946;1.651986979;1.651987184
18.2;0.0364;0.9307412;1.745135878;1.654883132;1.661058434;1.661058172
18.3;0.0366;0.930593703;1.754876239;1.660710252;1.670129589;1.670129791
18.4;0.0368;0.930446738;1.764618276;1.673025886;1.679201378;1.679201117
18.5;0.037;0.9303003;1.774361988;1.678852232;1.688272881;1.68827308
18.6;0.0372;0.930154386;1.784107376;1.691169335;1.697345025;1.697344763
18.7;0.0374;0.930008994;1.793854441;1.696994927;1.706416895;1.70641709
18.8;0.0376;0.92986412;1.803603182;1.709313519;1.715489413;1.715489151
18.9;0.0378;0.92971976;1.813353601;1.715138376;1.724561671;1.724561863
19;0.038;0.929575912;1.823105696;1.733960434;1.733634583;1.733634321
19.1;0.0382;0.929432573;1.832859469;1.746288769;1.742707248;1.742707437
19.2;0.0384;0.929289738;1.84261492;1.752108443;1.751780573;1.751780311
19.3;0.0386;0.929147406;1.852372049;1.764438319;1.760853664;1.76085385
19.4;0.0388;0.929005574;1.862130856;1.770257305;1.769927422;1.76992716
19.5;0.039;0.928864237;1.871891342;1.782588742;1.779000959;1.779001141
19.6;0.0392;0.928723395;1.881653507;1.788407058;1.788075168;1.788074906
19.7;0.0394;0.928583042;1.891417351;1.800740075;1.797149168;1.797149348
19.8;0.0396;0.928443178;1.901182874;1.806557739;1.806223848;1.806223586
19.9;0.0398;0.928303798;1.910950078;1.818892355;1.815298331;1.815298507
20;0.04;0.9281649;1.920718961;1.824709386;1.8243735;1.824373238
20.1;0.0402;0.928026482;1.930489525;1.837045621;1.833448484;1.833448657
20.2;0.0404;0.92788854;1.94026177;1.842862036;1.84252416;1.842523898
20.3;0.0406;0.927751073;1.950035695;1.855199907;1.851599663;1.851599833
20.4;0.0408;0.927614077;1.959811302;1.861015725;1.860675864;1.860675602
20.5;0.041;0.927477549;1.969588591;1.873355251;1.869751905;1.869752072
20.6;0.0412;0.927341487;1.979367561;1.879170489;1.878828649;1.878828387
20.7;0.0414;0.927205889;1.989148213;1.891511689;1.887905245;1.887905409
20.8;0.0416;0.927070753;1.998930548;1.897326364;1.89698255;1.896982289
20.9;0.0418;0.926936074;2.008714565;1.909669255;1.906059719;1.90605988
21;0.042;0.926801852;2.018500266;1.915483385;1.915137603;1.915137341
21.1;0.0422;0.926668083;2.02828765;1.927827985;1.924215362;1.92421552
21.2;0.0424;0.926534765;2.038076717;1.933641586;1.933293842;1.93329358
21.3;0.0426;0.926401895;2.047867468;1.945987913;1.942372208;1.942372363
21.4;0.0428;0.926269473;2.057659903;1.951801003;1.951451301;1.951451039
21.5;0.043;0.926137493;2.067454023;1.964149075;1.960530292;1.960530445
21.6;0.0432;0.926005956;2.077249828;1.96996167;1.969610015;1.969609753
21.7;0.0434;0.925874858;2.087047317;1.982311503;1.978689648;1.978689798
21.8;0.0436;0.925744196;2.096846492;1.98812362;1.987770018;1.987769756
21.9;0.0438;0.92561397;2.106647352;2.000475232;1.996850309;1.996850456
22;0.044;0.925484175;2.116449899;2.006286886;2.005931343;2.005931081
22.1;0.0442;0.925354811;2.126254131;2.018640295;2.015012308;2.015012453
22.2;0.0444;0.925225874;2.13606005;2.024451503;2.024094023;2.024093761
22.3;0.0446;0.925097364;2.145867656;2.036806725;2.03317568;2.033175821
22.4;0.0448;0.924969276;2.155676949;2.042617503;2.042258091;2.042257829
22.5;0.045;0.92484161;2.165487929;2.054974554;2.051340455;2.051340594
22.6;0.0452;0.924714363;2.175300597;2.060784919;2.060423579;2.060423317
22.7;0.0454;0.924587534;2.185114953;2.073143816;2.069506667;2.069506803
